participant_id,participant_type,family_id
MITI012B,Baby,MITI012
MITI013,Mother,MITI013
MITI014,Mother,MITI014
MITI014B,Baby,MITI014
MITI015,Mother,MITI015
MITI015B,Baby,MITI015
MITI016,Mother,MITI016
MITI016B,Baby,MITI016
MITI017,Mother,MITI017
MITI017B,Baby,MITI017
MITI018,Mother,MITI018
MITI018B,Baby,MITI018
MITI019,Mother,MITI019
MITI019B,Baby,MITI019
MITI020,Mother,MITI020
MITI020B,Baby,MITI020
MITI021,Mother,MITI021
MITI021B,Baby,MITI021
MITI022,Mother,MITI022
MITI022B,Baby,MITI022
MITI023,Mother,MITI023
MITI023B,Baby,MITI023
MITI024,Mother,MITI024
MITI024B,Baby,MITI024
MITI025,Mother,MITI025
MITI025B,Baby,MITI025
MITI026,Mother,MITI026
MITI027,Mother,MITI027
MITI028,Mother,MITI028
MITI028B,Baby,MITI028
MITI029,Mother,MITI029
MITI030,Mother,MITI030
MITI030B,Baby,MITI030
MITI031,Mother,MITI031
MITI031B,Baby,MITI031
MITI032,Mother,MITI032
MITI032B,Baby,MITI032
MITI033,Mother,MITI033
MITI033B,Baby,MITI033
MITI034,Mother,MITI034
MITI034B,Baby,MITI034
MITI035,Mother,MITI035
MITI036,Mother,MITI036
MITI037,Mother,MITI037
MITI038,Mother,MITI038
MITI039,Mother,MITI039
MITI040,Mother,MITI040
MITI041,Mother,MITI041
MITI041B,Baby,MITI041
MITI042,Mother,MITI042
NYA001,Mother,NYA001
NYA001B,Baby,NYA001
NYA002,Mother,NYA002
NYA002B,Baby,NYA002
NYA003,Mother,NYA003
NYA003B,Baby,NYA003
NYA004,Mother,NYA004
NYA004B,Baby,NYA004
WNG001,Mother,WNG001
WNG001B,Baby,WNG001
WNG002,Mother,WNG002
WNG002B,Baby,WNG002
WNG003,Mother,WNG003
WNG003B,Baby,WNG003
WNG004,Mother,WNG004
WNG004B,Baby,WNG004
WNG005,Mother,WNG005
WNG005B,Baby,WNG005
WNG006,Mother,WNG006
WNG007,Mother,WNG007
WNG008,Mother,WNG008
WNG009,Mother,WNG009
WNG010,Mother,WNG010
WNG010B,Baby,WNG010
